Nadine Gordimer	female	Nobel Prize in Literature	1991-01-01T00:00:00Z	1923-11-20T00:00:00Z	Springs	South Africa	2014-07-13T00:00:00Z
Rudolf Christoph Eucken	male	Nobel Prize in Literature	1908-01-01T00:00:00Z	1846-01-05T00:00:00Z	Aurich	Germany	1926-09-14T00:00:00Z
Rudolf Christoph Eucken	male	Nobel Prize in Literature	1908-01-01T00:00:00Z	1846-01-05T00:00:00Z	Aurich	Germany	1926-09-15T00:00:00Z
Imre Kertész	male	Nobel Prize in Literature	2002-01-01T00:00:00Z	1929-11-09T00:00:00Z	Budapest	Hungary	2016-03-31T00:00:00Z
Philipp Lenard	male	Nobel Prize in Physics	1905-01-01T00:00:00Z	1862-06-07T00:00:00Z	Bratislava	Slovakia	1947-05-20T00:00:00Z
Max von Laue	male	Nobel Prize in Physics	1914-01-01T00:00:00Z	1879-10-09T00:00:00Z	Koblenz	Germany	1960-04-24T00:00:00Z
Ferdinand Braun	male	Nobel Prize in Physics	1909-01-01T00:00:00Z	1850-06-06T00:00:00Z	Fulda	Germany	1918-04-20T00:00:00Z
Johannes Stark	male	Nobel Prize in Physics	1919-01-01T00:00:00Z	1874-04-15T00:00:00Z	Freihung	Germany	1957-06-21T00:00:00Z
Max Born	male	Nobel Prize in Physics	1954-01-01T00:00:00Z	1882-12-11T00:00:00Z	Wrocław	Poland	1970-01-05T00:00:00Z
Hans Georg Dehmelt	male	Nobel Prize in Physics	1989-01-01T00:00:00Z	1922-09-09T00:00:00Z	Görlitz	Germany	2017-03-07T00:00:00Z
Willard Boyle	male	Nobel Prize in Physics	2009-01-01T00:00:00Z	1924-08-19T00:00:00Z	Amherst	Canada	2011-05-07T00:00:00Z
Miguel Ángel Asturias Rosales	male	Nobel Prize in Literature	1967-01-01T00:00:00Z	1899-10-19T00:00:00Z	Guatemala City	Guatemala	1974-06-09T00:00:00Z
Wolfgang Ketterle	male	Nobel Prize in Physics	2001-01-01T00:00:00Z	1957-10-21T00:00:00Z	Heidelberg	Germany	
J. Hans D. Jensen	male	Nobel Prize in Physics	1963-01-01T00:00:00Z	1907-06-25T00:00:00Z	Hamburg	Germany	1973-02-11T00:00:00Z
Kenzaburō Ōe	male	Nobel Prize in Literature	1994-01-01T00:00:00Z	1935-01-31T00:00:00Z	Ōse	Japan	
Pearl S. Buck	female	Nobel Prize in Literature	1938-01-01T00:00:00Z	1892-06-26T00:00:00Z	Hillsboro	United States of America	1973-03-06T00:00:00Z
Jaroslav Seifert	male	Nobel Prize in Literature	1984-01-01T00:00:00Z	1901-09-23T00:00:00Z	Prague	Czech Republic	1986-01-10T00:00:00Z
Jaroslav Seifert	male	Nobel Prize in Literature	1984-01-01T00:00:00Z	1901-09-23T00:00:00Z	Žižkov	Czech Republic	1986-01-10T00:00:00Z
Aage Niels Bohr	male	Nobel Prize in Physics	1975-01-01T00:00:00Z	1922-06-19T00:00:00Z	Copenhagen	Danish Realm	2009-09-08T00:00:00Z
Vitaly Ginzburg	male	Nobel Prize in Physics	2003-01-01T00:00:00Z	1916-10-04T00:00:00Z	Moscow	Russia	2009-11-08T00:00:00Z
Saul Perlmutter	male	Nobel Prize in Physics	2011-01-01T00:00:00Z	1959-09-22T00:00:00Z	Champaign	United States of America	
Hugh David Politzer	male	Nobel Prize in Physics	2004-01-01T00:00:00Z	1949-08-31T00:00:00Z	New York City	United States of America	
Frank Wilczek	male	Nobel Prize in Physics	2004-01-01T00:00:00Z	1951-05-15T00:00:00Z	Mineola	United States of America	
Charles Édouard Guillaume	male	Nobel Prize in Physics	1920-01-01T00:00:00Z	1861-02-15T00:00:00Z	Fleurier	Switzerland	1938-06-13T00:00:00Z
Sinclair Lewis	male	Nobel Prize in Literature	1930-01-01T00:00:00Z	1885-02-07T00:00:00Z	Sauk Centre	United States of America	1951-01-10T00:00:00Z
Albert A. Michelson	male	Nobel Prize in Physics	1907-01-01T00:00:00Z	1852-12-19T00:00:00Z	Strzelno	Poland	1931-05-09T00:00:00Z
Roger Martin du Gard	male	Nobel Prize in Literature	1937-01-01T00:00:00Z	1881-03-23T00:00:00Z	Neuilly-sur-Seine	France	1958-08-22T00:00:00Z
Verner von Heidenstam	male	Nobel Prize in Literature	1916-01-01T00:00:00Z	1859-07-06T00:00:00Z	Olshammar	Sweden	1940-05-20T00:00:00Z
Robert Hofstadter	male	Nobel Prize in Physics	1961-01-01T00:00:00Z	1915-02-05T00:00:00Z	New York City	United States of America	1990-11-17T00:00:00Z
Juan Ramón Jiménez	male	Nobel Prize in Literature	1956-01-01T00:00:00Z	1881-12-24T00:00:00Z	Moguer	Spain	1958-05-29T00:00:00Z
Claude Simon	male	Nobel Prize in Literature	1985-01-01T00:00:00Z	1913-10-10T00:00:00Z	Antananarivo	Madagascar	2005-07-06T00:00:00Z
Camilo José Cela	male	Nobel Prize in Literature	1989-01-01T00:00:00Z	1916-05-11T00:00:00Z	Iria Flavia	Spain	2002-01-17T00:00:00Z
Shmuel Yosef Agnon	male	Nobel Prize in Literature	1966-01-01T00:00:00Z	1888-07-17T00:00:00Z	Buchach	Ukraine	1970-02-17T00:00:00Z
Vicente Aleixandre	male	Nobel Prize in Literature	1977-01-01T00:00:00Z	1898-04-26T00:00:00Z	Seville	Spain	1984-12-14T00:00:00Z
Louis Néel	male	Nobel Prize in Physics	1970-01-01T00:00:00Z	1904-11-22T00:00:00Z	Lyon	France	2000-11-17T00:00:00Z
Eugene Wigner	male	Nobel Prize in Physics	1963-01-01T00:00:00Z	1902-11-17T00:00:00Z	Budapest	Hungary	1995-01-01T00:00:00Z
Hans Bethe	male	Nobel Prize in Physics	1967-01-01T00:00:00Z	1906-07-02T00:00:00Z	Strasbourg	France	2005-03-06T00:00:00Z
Russell Alan Hulse	male	Nobel Prize in Physics	1993-01-01T00:00:00Z	1950-11-28T00:00:00Z	New York City	United States of America	
Johannes V. Jensen	male	Nobel Prize in Literature	1944-01-01T00:00:00Z	1873-01-20T00:00:00Z	Farsø	Denmark	1950-11-25T00:00:00Z
William Shockley	male	Nobel Prize in Physics	1956-01-01T00:00:00Z	1910-02-13T00:00:00Z	London	United Kingdom	1989-08-12T00:00:00Z
Giorgos Seferis	male	Nobel Prize in Literature	1963-01-01T00:00:00Z	1900-03-13T00:00:00Z	Urla	Turkey	1971-09-20T00:00:00Z
Owen Willans Richardson	male	Nobel Prize in Physics	1928-01-01T00:00:00Z	1879-04-26T00:00:00Z	Dewsbury	United Kingdom	1959-02-15T00:00:00Z
Carl David Anderson	male	Nobel Prize in Physics	1936-01-01T00:00:00Z	1905-09-03T00:00:00Z	New York City	United States of America	1991-01-11T00:00:00Z
Pyotr Kapitsa	male	Nobel Prize in Physics	1978-01-01T00:00:00Z	1894-07-08T00:00:00Z	Kronstadt	Russia	1984-04-08T00:00:00Z
Emilio G. Segrè	male	Nobel Prize in Physics	1959-01-01T00:00:00Z	1905-02-01T00:00:00Z	Tivoli	Italy	1989-04-22T00:00:00Z
George F. Smoot	male	Nobel Prize in Physics	2006-01-01T00:00:00Z	1945-02-20T00:00:00Z	Yukon	United States of America	
Jack Kilby	male	Nobel Prize in Physics	2000-01-01T00:00:00Z	1923-11-08T00:00:00Z	Jefferson City	United States of America	2005-06-20T00:00:00Z
Edward Mills Purcell	male	Nobel Prize in Physics	1952-01-01T00:00:00Z	1912-08-30T00:00:00Z	Taylorville	United States of America	1997-03-07T00:00:00Z
Walter Houser Brattain	male	Nobel Prize in Physics	1956-01-01T00:00:00Z	1902-02-10T00:00:00Z	Xiamen	People's Republic of China	1987-10-13T00:00:00Z
